customerID,SeniorCitizen,tenure_x,MonthlyCharges_x,TotalCharges,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,True_Churn,Predicted_Churn_Probability,Contract,InternetService,PaymentMethod,tenure_y,MonthlyCharges_y
4376-KFVRS,0,72,114.05,8468.2,True,True,True,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,True,False,False,0,0.009602987,Two year,Fiber optic,Credit card (automatic),72,114.05
2754-SDJRD,1,8,100.15,908.55,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,True,False,False,0,0.9367768,Month-to-month,Fiber optic,Credit card (automatic),8,100.15
9917-KWRBE,0,41,78.35,3211.2,False,True,True,True,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,True,True,False,False,0,0.07799646,One year,DSL,Credit card (automatic),41,78.35
0365-GXEZS,0,18,78.2,1468.75,True,True,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,0,0.37583557,Month-to-month,Fiber optic,Electronic check,18,78.2
9385-NXKDA,0,72,82.65,5919.35,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,True,True,True,False,False,0,0.0026488688,Two year,DSL,Credit card (automatic),72,82.65
4686-UXDML,0,21,99.85,1992.55,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False,0,0.72051126,Month-to-month,Fiber optic,Credit card (automatic),21,99.85
2227-JRSJX,0,21,99.15,1956.4,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,False,0,0.47258678,Month-to-month,Fiber optic,Bank transfer (automatic),21,99.15
4830-FAXFM,0,19,24.1,439.2,True,False,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,0,0.26623514,Month-to-month,No,Credit card (automatic),19,24.1
1830-IPXVJ,0,61,19.75,1311.6,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,0,0.005690176,Two year,No,Credit card (automatic),61,19.75
4690-LLKUA,1,17,45.05,770.6,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,0.5111884,Month-to-month,DSL,Electronic check,17,45.05
